['9', '1', '0', '3', '5', '1', '0', '11', '4', '0', '0', '0', '0', '1', '0', '17', '0', '9']
['9', '1', '0', '2', '6', '1', '0', '11', '4', '0', '0', '0', '0', '1', '0', '17', '0', '9']
['10', '1', '0', '2', '6', '0', '0', '11', '3', '0', '0', '0', '0', '0', '0', '17', '0', '9']
['9', '1', '0', '3', '5', '0', '0', '12', '4', '0', '0', '0', '0', '1', '0', '17', '0', '8']
['9', '2', '0', '1', '4', '0', '0', '11', '3', '0', '0', '0', '0', '2', '0', '17', '0', '8']
['10', '2', '0', '2', '5', '0', '1', '11', '4', '0', '0', '0', '0', '1', '0', '17', '0', '9']
['10', '1', '0', '2', '6', '1', '0', '11', '4', '0', '0', '0', '0', '1', '0', '17', '0', '8']
['10', '2', '0', '2', '5', '0', '0', '12', '3', '0', '0', '1', '0', '0', '0', '18', '0', '9']
['9', '1', '0', '2', '5', '0', '0', '11', '4', '0', '1', '0', '0', '1', '0', '17', '0', '9']
['10', '1', '0', '2', '5', '0', '0', '11', '4', '0', '0', '0', '0', '2', '0', '17', '0', '8']
['9', '2', '0', '2', '5', '0', '0', '11', '5', '0', '1', '0', '0', '1', '0', '18', '0', '9']
['10', '1', '0', '1', '6', '0', '0', '11', '3', '0', '1', '0', '0', '1', '0', '17', '0', '9']
['9', '1', '0', '2', '5', '0', '0', '11', '4', '0', '0', '0', '0', '1', '0', '17', '0', '8']
['9', '1', '0', '1', '5', '0', '0', '11', '3', '0', '0', '0', '0', '1', '0', '16', '0', '9']
['9', '1', '0', '2', '5', '0', '1', '10', '3', '0', '0', '0', '1', '1', '0', '17', '0', '9']
['10', '2', '0', '2', '4', '0', '0', '12', '4', '0', '0', '0', '0', '2', '0', '17', '0', '9']
['9', '1', '0', '2', '6', '0', '0', '11', '4', '0', '0', '1', '0', '1', '0', '17', '0', '9']
['9', '2', '0', '2', '4', '0', '1', '12', '4', '0', '0', '0', '0', '0', '0', '17', '0', '9']
['9', '1', '0', '3', '5', '0', '0', '11', '3', '0', '0', '0', '0', '1', '0', '17', '0', '9']
['8', '1', '0', '2', '5', '0', '0', '11', '4', '0', '0', '0', '0', '1', '0', '17', '0', '8']
['9', '1', '0', '1', '4', '0', '1', '11', '3', '0', '0', '0', '0', '1', '0', '17', '0', '8']
['9', '2', '0', '3', '5', '0', '0', '11', '5', '0', '2', '0', '0', '0', '0', '17', '0', '8']
['9', '1', '0', '2', '6', '0', '0', '10', '3', '0', '0', '1', '0', '1', '0', '17', '0', '9']
['9', '2', '0', '2', '5', '0', '0', '11', '5', '0', '0', '0', '0', '0', '0', '18', '0', '8']
['9', '1', '0', '2', '5', '0', '0', '11', '3', '0', '0', '0', '0', '1', '0', '17', '0', '9']
['10', '0', '0', '1', '4', '0', '1', '10', '5', '0', '0', '0', '0', '2', '0', '17', '0', '8']
['9', '1', '0', '2', '5', '0', '0', '11', '4', '0', '1', '0', '0', '1', '0', '18', '0', '9']
['9', '1', '0', '2', '6', '1', '0', '12', '3', '0', '0', '0', '0', '1', '0', '18', '0', '8']
['10', '1', '0', '2', '4', '0', '0', '10', '5', '0', '0', '0', '0', '0', '0', '16', '0', '8']
['9', '1', '0', '3', '4', '0', '0', '11', '4', '0', '0', '0', '0', '1', '0', '18', '41', '9']
['9', '1', '0', '2', '4', '0', '0', '10', '3', '0', '0', '0', '0', '2', '0', '18', '0', '9']
['9', '2', '0', '2', '5', '0', '0', '12', '3', '0', '0', '0', '0', '1', '0', '18', '0', '8']
['9', '1', '0', '2', '7', '0', '0', '11', '3', '0', '1', '0', '0', '1', '0', '16', '0', '10']
['9', '1', '0', '2', '5', '0', '0', '11', '4', '0', '0', '0', '0', '1', '0', '18', '0', '9']
['9', '1', '0', '2', '5', '0', '0', '11', '4', '0', '0', '0', '0', '0', '0', '17', '0', '9']
['9', '1', '0', '2', '4', '0', '0', '11', '4', '0', '0', '0', '0', '1', '0', '17', '0', '8']
['10', '2', '0', '2', '4', '0', '0', '11', '4', '0', '1', '0', '0', '2', '0', '18', '0', '9']
['9', '2', '0', '2', '6', '0', '0', '11', '3', '0', '1', '0', '0', '1', '0', '18', '0', '10']
['8', '1', '0', '2', '5', '0', '0', '11', '4', '0', '0', '0', '0', '1', '0', '17', '0', '9']
['9', '2', '0', '2', '5', '0', '0', '10', '4', '0', '0', '0', '0', '1', '0', '18', '0', '9']
['9', '1', '0', '1', '5', '0', '0', '12', '4', '0', '0', '0', '0', '1', '0', '17', '0', '8']
['9', '2', '0', '2', '4', '0', '0', '12', '4', '0', '0', '0', '0', '2', '0', '18', '0', '9']
['9', '2', '0', '3', '6', '0', '0', '11', '4', '1', '2', '0', '0', '1', '0', '17', '0', '8']
['9', '1', '0', '2', '6', '0', '0', '11', '4', '0', '0', '0', '0', '0', '0', '17', '0', '9']
['9', '2', '0', '2', '5', '0', '0', '11', '4', '0', '0', '0', '0', '1', '0', '17', '0', '8']
['9', '1', '0', '2', '5', '0', '0', '11', '3', '0', '0', '0', '0', '1', '0', '17', '0', '8']
['9', '1', '0', '2', '4', '0', '0', '11', '3', '0', '0', '0', '0', '1', '0', '18', '0', '7']
['10', '2', '1', '3', '6', '1', '0', '11', '3', '0', '0', '0', '0', '1', '0', '17', '0', '9']
['9', '1', '0', '3', '5', '1', '0', '12', '4', '0', '0', '0', '0', '0', '0', '17', '0', '8']
['9', '1', '0', '2', '5', '0', '0', '12', '4', '0', '0', '0', '0', '0', '0', '17', '0', '9']
['9', '1', '1', '2', '4', '0', '0', '10', '4', '0', '0', '0', '0', '1', '0', '17', '0', '9']
['10', '1', '0', '2', '4', '0', '0', '11', '4', '0', '0', '0', '0', '1', '0', '17', '0', '9']
['9', '2', '0', '2', '5', '0', '0', '11', '3', '0', '0', '0', '0', '1', '0', '17', '0', '9']
['9', '1', '0', '2', '7', '0', '0', '12', '4', '0', '1', '0', '0', '1', '0', '18', '0', '9']
['9', '1', '0', '3', '5', '0', '0', '11', '4', '1', '0', '0', '0', '1', '0', '18', '0', '8']
['10', '1', '0', '2', '5', '0', '0', '11', '4', '1', '0', '1', '0', '1', '0', '17', '0', '9']
['9', '1', '0', '2', '4', '0', '0', '11', '4', '0', '0', '0', '0', '1', '0', '17', '0', '8']
['10', '2', '0', '2', '4', '0', '1', '11', '4', '0', '0', '0', '0', '1', '0', '18', '0', '9']
['9', '2', '0', '2', '7', '0', '0', '11', '4', '0', '1', '0', '0', '1', '0', '17', '0', '10']
['9', '1', '0', '2', '5', '0', '0', '11', '4', '0', '0', '0', '0', '1', '0', '17', '0', '8']
['9', '1', '0', '2', '5', '0', '0', '11', '5', '0', '0', '0', '0', '0', '0', '18', '0', '9']
['8', '2', '0', '1', '5', '0', '0', '11', '4', '0', '0', '0', '0', '1', '0', '17', '0', '8']
['10', '1', '0', '2', '4', '0', '0', '11', '4', '0', '0', '0', '0', '1', '0', '17', '0', '9']
['9', '2', '0', '3', '5', '0', '0', '11', '4', '1', '1', '0', '0', '2', '0', '18', '0', '9']
['10', '1', '0', '2', '6', '1', '1', '11', '4', '0', '0', '0', '0', '0', '0', '18', '0', '9']
['9', '1', '0', '2', '5', '0', '0', '10', '3', '0', '0', '0', '0', '1', '0', '17', '0', '10']
['9', '1', '0', '2', '5', '0', '0', '12', '4', '0', '0', '0', '0', '0', '0', '17', '0', '9']
['9', '2', '0', '2', '4', '0', '1', '10', '4', '0', '0', '0', '0', '2', '0', '18', '0', '8']
['9', '1', '0', '2', '5', '0', '0', '11', '4', '1', '1', '0', '0', '1', '0', '18', '0', '9']
['9', '1', '0', '3', '6', '1', '0', '11', '3', '0', '0', '0', '0', '1', '0', '17', '0', '7']
['9', '1', '0', '2', '4', '0', '0', '12', '3', '0', '0', '0', '0', '0', '0', '17', '39', '8']
['9', '1', '0', '2', '5', '1', '0', '12', '4', '0', '0', '0', '0', '0', '0', '17', '39', '11']
['9', '1', '0', '2', '4', '0', '1', '10', '2', '0', '0', '0', '0', '1', '0', '14', '35', '11']
['9', '2', '0', '2', '4', '0', '0', '12', '4', '0', '0', '0', '0', '1', '1', '18', '38', '25']
['9', '1', '0', '2', '5', '2', '0', '10', '3', '0', '0', '1', '0', '1', '0', '21', '60', '102']
['9', '2', '0', '1', '4', '3', '0', '12', '3', '0', '0', '0', '0', '1', '0', '21', '64', '113']
['8', '1', '0', '2', '4', '1', '0', '11', '5', '0', '0', '0', '0', '1', '0', '22', '71', '131']
['10', '1', '0', '2', '4', '0', '0', '11', '4', '0', '0', '0', '0', '1', '0', '24', '78', '162']
['9', '1', '0', '2', '4', '0', '1', '11', '4', '0', '0', '0', '1', '2', '0', '25', '81', '174']
['9', '1', '0', '2', '4', '2', '0', '11', '4', '0', '0', '0', '0', '1', '0', '25', '83', '182']
['9', '1', '0', '2', '4', '1', '0', '10', '3', '0', '0', '0', '0', '0', '0', '25', '84', '185']
['9', '2', '0', '2', '4', '0', '0', '11', '3', '0', '0', '0', '0', '1', '0', '26', '84', '190']
['9', '1', '0', '1', '4', '1', '0', '11', '4', '0', '0', '0', '1', '1', '0', '26', '83', '191']
['9', '1', '0', '1', '4', '0', '0', '10', '3', '0', '0', '0', '0', '1', '0', '26', '84', '187']
['9', '2', '0', '2', '5', '1', '0', '11', '2', '0', '0', '0', '1', '1', '0', '26', '84', '189']
['9', '1', '0', '2', '5', '3', '1', '11', '4', '0', '0', '0', '0', '1', '0', '26', '84', '192']
['8', '0', '0', '2', '4', '1', '0', '10', '4', '0', '0', '0', '1', '1', '0', '26', '86', '192']
